Columna 1,Edad,Género,Ingreso mensual,"¿Con qué frecuencia, compras tenis deportivos?",¿Para qué usas principalmente los tenis deportivos?,¿Qué factor es más importante al comprar tenis deportivos?,¿Cuánto estarías dispuesto a pagar?,Comodidad,Durabilidad,Diseño,Precio,¿Qué mejorarías de los tenis deportivos?,¿Comprarías tenis de una nueva marca?,,,,,,
4/8/2026 18:51:37,61,Femenino,"Más de $10,000",Una vez al año,Deporte,Comodidad,"$800-$1,500",5,4,3,3,Los materiales ,Si,,,,,,
4/8/2026 19:39:44,23,Masculino,"$5,000-$10,000",Rara vez,Deporte,"Precio, Comodidad, Diseño","$1,500-$3,000",3,3,3,3,Nada,No,,,,,,
4/8/2026 20:35:29,25,Masculino,"$5,000-$10,000",Una vez al año,Uso diario,"Precio, Comodidad",Menos de $800,5,4,2,3,Que sean transpirable y cómodos de la plantilla,Si,,,,,,
4/8/2026 21:44:49,30,Masculino,"Más de $10,000",Una vez al año,Uso diario,Diseño,"$800-$1,500",4,3,5,3,Autoajustables,No,,,,,,
4/8/2026 22:07:20,20,Masculino,"$5,000-$10,000",Cada 3 meses,Uso diario,,"$1,500-$3,000",5,5,5,5,"El precio, por lo general muy caros",Si,,,,,,
4/8/2026 22:35:25,25,Masculino,"Más de $10,000",Rara vez,Uso diario,"Comodidad, Diseño","$1,500-$3,000",5,5,5,3,Nada,Si,,,,,,
4/8/2026 22:40:53,18,Femenino,"$5,000-$10,000",Rara vez,"Deporte, Moda","Comodidad, Diseño","$800-$1,500",5,5,5,5,Que tuvieran más diversidad de diseño ,Si,,,,,,
4/8/2026 23:10:54,20,Femenino,"Menos de $5,000",Una vez al año,"Deporte, Uso diario, Moda",Diseño,"$1,500-$3,000",5,5,5,4,nada,Si,,,,,,
4/8/2026 23:53:53,20 años ,Masculino,"Más de $10,000",Cada 6 meses,Deporte,"Comodidad, Diseño","$1,500-$3,000",5,4,4,3,Más comodidad ,Si,,,,,,
4/9/2026 7:15:34,18,Femenino,"$5,000-$10,000",Una vez al año,Uso diario,Diseño,"$1,500-$3,000",5,5,5,5,Xc,Si,,,,,,
4/9/2026 8:05:46,22,Femenino,"Menos de $5,000",Rara vez,Uso diario,"Precio, Comodidad",Menos de $800,4,4,4,4,Cambiaría el color ,Si,,,,,,
4/9/2026 8:16:41,21,Femenino,"Menos de $5,000",Una vez al año,Moda,"Precio, Comodidad, Diseño","$1,500-$3,000",4,5,5,5,Nada me gusto,Si,,,,,,
4/9/2026 8:56:29,20,Femenino,"Menos de $5,000",Rara vez,"Deporte, Uso diario, Moda","Comodidad, Diseño","$1,500-$3,000",5,5,5,5,Comodidad ,No,,,,,,
4/9/2026 10:30:45,20,Masculino,"Menos de $5,000",Una vez al año,"Uso diario, Moda","Comodidad, Diseño","$800-$1,500",4,5,5,3,Durabilidad ,Si,,,,,,
4/9/2026 12:10:05,21,Femenino,"Menos de $5,000",Una vez al año,Uso diario,Comodidad,"$800-$1,500",5,5,5,3,Que fuera unisex,Si,,,,,,
4/9/2026 12:18:25,24,Masculino,"Más de $10,000",Una vez al año,"Deporte, Uso diario, Moda, Trabajo","Comodidad, Marca, Diseño","$800-$1,500",5,5,5,4,Nothing ,Si,,,,,,
4/9/2026 15:24:41,21,Femenino,"$5,000-$10,000",Cada 6 meses,"Uso diario, Moda","Comodidad, Diseño","Más de $3,000",4,3,4,5,Más colores y diseños más clásicos (sin colores neón) ,Si,,,,,,
4/9/2026 20:16:07,21,Masculino,"Más de $10,000",Cada 6 meses,Uso diario,"Precio, Diseño","$1,500-$3,000",4,4,5,4,Nada que mejorar,Si,,,,,,
4/10/2026 12:59:48,22,Masculino,"Más de $10,000",Rara vez,Deporte,Comodidad,"$1,500-$3,000",4,4,5,3,Nada ,Si,,,,,,
4/11/2026 15:37:18,20 años ,Femenino,"$5,000-$10,000",Cada 3 meses,"Uso diario, Moda","Comodidad, Marca, Diseño","$1,500-$3,000",5,5,5,5,Diseño y precio ,No,,,,,,
4/13/2026 7:24:11,20,Femenino,"Menos de $5,000",Una vez al año,Deporte,"Comodidad, Marca","$800-$1,500",5,5,4,4,Diseños,Si,,,,,,
4/13/2026 7:24:15,21,Masculino,"Más de $10,000",Cada 6 meses,Deporte,Comodidad,"$800-$1,500",5,5,4,3,La comodidad ,Si,,,,,,
4/14/2026 10:28:13,20,Masculino,"Menos de $5,000",Cada 3 meses,"Deporte, Uso diario",Precio,Menos de $800,4,4,4,4,comodidad,Si,,,,,,
4/14/2026 10:30:06,21,Femenino,"Más de $10,000",Cada 6 meses,Uso diario,Comodidad,"$800-$1,500",5,5,5,5,diseño,Si,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
